,Ridge,SVC,KNN,DecisionTree,MLP
HN_137,4.612637742564627e-11,1.3398867310092732e-09,8.165138901436513e-11,4.012350965844718e-07,1.0560730717092381e-10
HN_PETCT_298,1.4711318249938238e-07,1.8069678868990035e-08,6.647849113813475e-07,0.011478994005059978,5.0117560441878755e-09
HNSCC_400,1.4623633958165792e-16,3.3517677708695345e-12,5.673873921379467e-16,1.0873859416535817e-11,2.8688602318863406e-21
OPC_606,1.3510273426425397e-12,9.951374405080389e-11,2.4303036070234266e-10,1.0601167461835313e-05,4.5401007834572706e-13
