,Ridge,SVC,KNN,DecisionTree,MLP
HN_137,1.70468130429707e-16,5.794330417532272e-19,7.300165208935184e-17,6.674786445913865e-14,1.0970271864608948e-17
HN_PETCT_298,9.957619099826667e-13,6.798914118252059e-16,4.134766173143623e-10,2.022319305693069e-09,1.3611679091322204e-14
HNSCC_400,1.1941819606488203e-24,1.474345140050357e-25,2.261528083240026e-17,7.799881192157123e-22,6.653377140572284e-34
OPC_606,6.399812114760434e-23,2.9026018279264745e-18,7.517950893083224e-09,1.3521806033658543e-17,9.857802845725416e-22
