,Ridge,SVC,KNN,DecisionTree,MLP
HN_137,8.601170114779087e-18,1.0117865626474529e-13,1.2022745601742541e-08,7.97931514224744e-10,3.3028859751327167e-17
HN_PETCT_298,4.706104130416217e-34,9.968001011583658e-31,2.935568561870081e-26,1.5798389131892437e-26,6.204903010780136e-31
HNSCC_400,2.5612433964429663e-18,3.654920779056613e-17,5.308475421894711e-26,5.884136177135603e-13,2.6735371870075686e-24
OPC_606,9.27606722202165e-27,9.70738542016856e-25,1.3750370289308424e-23,6.309937492344608e-18,4.429047811614735e-30
