,Contrast,A,B,Paired,Parametric,T,dof,Tail,p-unc,BF10,hedges
0,variable,Original ICC score,Robustness 0.75 ICC score,True,True,-13.291521080554887,59.0,two-sided,2.1495811693917847e-19,2.388e+16,-2.1448371019774237
1,variable,Original ICC score,Robustness 0.95 ICC score,True,True,-22.789258293515026,59.0,two-sided,6.204903010780136e-31,4.459e+27,-4.175275128210348
2,variable,Robustness 0.75 ICC score,Robustness 0.95 ICC score,True,True,-30.17505620622481,59.0,two-sided,1.4600627606187512e-37,1.401e+34,-5.466307148016414
