,Ridge,SVC,KNN,DecisionTree,MLP
HN_137,6.219140621922262e-07,2.8989296389124083e-06,2.49253790466813e-06,0.08054814965677842,6.896762405081795e-08
HN_PETCT_298,8.404968371358206e-23,6.0334062189945095e-18,1.8452993685015305e-18,4.995636430055057e-12,2.1495811693917847e-19
HNSCC_400,1.2771264461201937e-09,0.0034449166987662017,5.733518420786204e-07,0.004019385561883559,8.904274477733747e-09
OPC_606,2.156752588713751e-12,3.2199889168508623e-07,1.3582195182385515e-12,7.985214698368173e-05,1.6788668120633984e-12
